,DataObito,Quantidade_sim,Quantidade_sivep,Diferenca
0,2020-02-03,2,0.0,2.0
1,2020-02-05,1,0.0,1.0
2,2020-02-07,2,0.0,2.0
3,2020-02-08,1,0.0,1.0
4,2020-02-09,1,0.0,1.0
5,2020-02-11,2,0.0,2.0
6,2020-02-12,1,0.0,1.0
7,2020-02-13,2,0.0,2.0
8,2020-02-14,5,0.0,5.0
9,2020-02-15,3,0.0,3.0
10,2020-02-16,1,0.0,1.0
11,2020-02-17,2,0.0,2.0
12,2020-02-18,1,0.0,1.0
13,2020-02-19,4,0.0,4.0
14,2020-02-20,4,0.0,4.0
15,2020-02-21,3,0.0,3.0
16,2020-02-22,1,0.0,1.0
17,2020-02-23,2,0.0,2.0
18,2020-02-24,2,0.0,2.0
19,2020-02-26,3,0.0,3.0
20,2020-02-27,1,0.0,1.0
21,2020-02-28,5,0.0,5.0
22,2020-02-29,1,0.0,1.0
23,2020-03-01,2,0.0,2.0
24,2020-03-02,5,0.0,5.0
25,2020-03-03,1,0.0,1.0
26,2020-03-04,1,0.0,1.0
27,2020-03-05,1,0.0,1.0
28,2020-03-06,1,0.0,1.0
29,2020-03-08,1,0.0,1.0
30,2020-03-09,2,0.0,2.0
31,2020-03-10,3,0.0,3.0
32,2020-03-11,1,0.0,1.0
33,2020-03-12,2,1.0,1.0
34,2020-03-13,2,0.0,2.0
35,2020-03-14,5,0.0,5.0
36,2020-03-15,3,2.0,1.0
37,2020-03-16,8,3.0,5.0
38,2020-03-17,2,4.0,-2.0
39,2020-03-18,9,7.0,2.0
40,2020-03-19,15,7.0,8.0
41,2020-03-20,17,12.0,5.0
42,2020-03-21,19,14.0,5.0
43,2020-03-22,20,18.0,2.0
44,2020-03-23,33,33.0,0.0
45,2020-03-24,41,28.0,13.0
46,2020-03-25,40,31.0,9.0
47,2020-03-26,47,42.0,5.0
48,2020-03-27,51,45.0,6.0
49,2020-03-28,65,49.0,16.0
50,2020-03-29,60,51.0,9.0
51,2020-03-30,86,68.0,18.0
52,2020-03-31,95,80.0,15.0
53,2020-04-01,103,84.0,19.0
54,2020-04-02,121,105.0,16.0
55,2020-04-03,148,110.0,38.0
56,2020-04-04,160,122.0,38.0
57,2020-04-05,181,130.0,51.0
58,2020-04-06,166,120.0,46.0
59,2020-04-07,172,139.0,33.0
60,2020-04-08,188,139.0,49.0
61,2020-04-09,188,140.0,48.0
62,2020-04-10,207,166.0,41.0
63,2020-04-11,233,168.0,65.0
64,2020-04-12,256,191.0,65.0
65,2020-04-13,261,217.0,44.0
66,2020-04-14,255,197.0,58.0
67,2020-04-15,293,206.0,87.0
68,2020-04-16,321,232.0,89.0
69,2020-04-17,323,239.0,84.0
70,2020-04-18,389,248.0,141.0
71,2020-04-19,392,284.0,108.0
72,2020-04-20,436,293.0,143.0
73,2020-04-21,418,297.0,121.0
74,2020-04-22,514,321.0,193.0
75,2020-04-23,545,360.0,185.0
76,2020-04-24,547,410.0,137.0
77,2020-04-25,599,409.0,190.0
78,2020-04-26,638,415.0,223.0
79,2020-04-27,637,442.0,195.0
80,2020-04-28,730,483.0,247.0
81,2020-04-29,760,519.0,241.0
82,2020-04-30,739,472.0,267.0
83,2020-05-01,763,539.0,224.0
84,2020-05-02,816,582.0,234.0
85,2020-05-03,861,570.0,291.0
86,2020-05-04,888,611.0,277.0
87,2020-05-05,935,653.0,282.0
88,2020-05-06,923,587.0,336.0
89,2020-05-07,924,635.0,289.0
90,2020-05-08,958,686.0,272.0
91,2020-05-09,983,670.0,313.0
92,2020-05-10,985,688.0,297.0
93,2020-05-11,1005,716.0,289.0
94,2020-05-12,1068,755.0,313.0
95,2020-05-13,1015,745.0,270.0
96,2020-05-14,1020,765.0,255.0
97,2020-05-15,981,761.0,220.0
98,2020-05-16,1011,754.0,257.0
99,2020-05-17,1072,750.0,322.0
100,2020-05-18,1047,774.0,273.0
101,2020-05-19,1026,797.0,229.0
102,2020-05-20,1007,798.0,209.0
103,2020-05-21,1030,775.0,255.0
104,2020-05-22,1115,858.0,257.0
105,2020-05-23,1014,805.0,209.0
106,2020-05-24,988,746.0,242.0
107,2020-05-25,1063,828.0,235.0
108,2020-05-26,984,780.0,204.0
109,2020-05-27,1022,815.0,207.0
110,2020-05-28,1024,809.0,215.0
111,2020-05-29,1030,852.0,178.0
112,2020-05-30,1000,816.0,184.0
113,2020-05-31,957,780.0,177.0
114,2020-06-01,1011,813.0,198.0
115,2020-06-02,1012,796.0,216.0
116,2020-06-03,999,829.0,170.0
117,2020-06-04,1030,829.0,201.0
118,2020-06-05,981,794.0,187.0
119,2020-06-06,1007,862.0,145.0
120,2020-06-07,917,784.0,133.0
121,2020-06-08,971,791.0,180.0
122,2020-06-09,947,776.0,171.0
123,2020-06-10,975,850.0,125.0
124,2020-06-11,965,805.0,160.0
125,2020-06-12,974,813.0,161.0
126,2020-06-13,977,843.0,134.0
127,2020-06-14,939,782.0,157.0
128,2020-06-15,973,832.0,141.0
129,2020-06-16,973,852.0,121.0
130,2020-06-17,970,841.0,129.0
131,2020-06-18,922,821.0,101.0
132,2020-06-19,964,807.0,157.0
133,2020-06-20,946,795.0,151.0
134,2020-06-21,928,821.0,107.0
135,2020-06-22,1015,864.0,151.0
136,2020-06-23,932,786.0,146.0
137,2020-06-24,961,846.0,115.0
138,2020-06-25,961,812.0,149.0
139,2020-06-26,899,791.0,108.0
140,2020-06-27,906,777.0,129.0
141,2020-06-28,957,822.0,135.0
142,2020-06-29,977,856.0,121.0
143,2020-06-30,963,831.0,132.0
144,2020-07-01,947,824.0,123.0
145,2020-07-02,1034,884.0,150.0
146,2020-07-03,970,844.0,126.0
147,2020-07-04,914,826.0,88.0
148,2020-07-05,981,871.0,110.0
149,2020-07-06,973,857.0,116.0
150,2020-07-07,984,886.0,98.0
151,2020-07-08,1023,883.0,140.0
152,2020-07-09,1025,877.0,148.0
153,2020-07-10,974,864.0,110.0
154,2020-07-11,961,836.0,125.0
155,2020-07-12,1071,956.0,115.0
156,2020-07-13,1084,931.0,153.0
157,2020-07-14,1030,913.0,117.0
158,2020-07-15,1070,929.0,141.0
159,2020-07-16,1030,900.0,130.0
160,2020-07-17,1020,955.0,65.0
161,2020-07-18,1022,939.0,83.0
162,2020-07-19,983,882.0,101.0
163,2020-07-20,968,850.0,118.0
164,2020-07-21,1110,963.0,147.0
165,2020-07-22,1055,933.0,122.0
166,2020-07-23,961,877.0,84.0
167,2020-07-24,971,866.0,105.0
168,2020-07-25,1038,923.0,115.0
169,2020-07-26,936,850.0,86.0
170,2020-07-27,967,889.0,78.0
171,2020-07-28,987,889.0,98.0
172,2020-07-29,1013,943.0,70.0
173,2020-07-30,1019,913.0,106.0
174,2020-07-31,972,876.0,96.0
175,2020-08-01,965,885.0,80.0
176,2020-08-02,908,827.0,81.0
177,2020-08-03,967,849.0,118.0
178,2020-08-04,972,882.0,90.0
179,2020-08-05,962,844.0,118.0
180,2020-08-06,911,856.0,55.0
181,2020-08-07,910,823.0,87.0
182,2020-08-08,935,854.0,81.0
183,2020-08-09,912,828.0,84.0
184,2020-08-10,902,842.0,60.0
185,2020-08-11,875,757.0,118.0
186,2020-08-12,914,824.0,90.0
187,2020-08-13,848,792.0,56.0
188,2020-08-14,897,799.0,98.0
189,2020-08-15,878,793.0,85.0
190,2020-08-16,891,785.0,106.0
